id,question,prediction,gold
5733140a4776f419006606e4,"Why did Warsaw gain the title of the ""Phoenix City""?","it has survived many wars, conflicts and invasions throughout its long history","survived many wars, conflicts and invasions"
57286bb84b864d19001649ca,Where did the Grand Canal start?,southern China,southern China
57332c1e4776f4190066073d,When did Hitler order the annihilation of the Warsaw Ghetto?,19 April 1943,April 1943
57273a465951b619008f8701,What percentile of gross domestic product is construction comprised of?,six to nine percent,six to nine percent
572686fc708984140094c8e5,"What do bathyctena chuni, euplokamis stationis and eurhamphaea vexilligera have in common?","when some species, including Bathyctena chuni, Euplokamis stationis and Eurhamphaea vexilligera, are disturbed, they produce secretions (ink) that luminesce at much the same wavelengths as their bodies",they produce secretions (ink) that luminesce
57264b1ddd62a815002e80a4,What are the most active parts of ctenophora?,mouth and pharynx,the mouth and pharynx;
5727ec062ca10214002d99b6,What is controled by the market and economy?,workers wages,workers wages
5733647e4776f419006609af,What was the name of the infamous German Gestapo prison?,Pawiak,Pawiak
56e77c6737bdd419002c4020,Who is expected to lead the family in spiritual mentorship?,the husband and father,the husband and father
57299021af94a219006aa50c,Which conjecture holds that every even integer n greater than 2 can be expressed as a sum of two primes?,Goldbach's conjecture,Goldbach's conjecture
